Mod:Item:MetaData, Localized Name
moreplanets:nibiru_block:8, Nibiru Dungeon Brick
moreplanets:nibiru_block:9, Mossy Nibiru Dungeon Brick
moreplanets:nibiru_ore:0, Infected Coal Ore
moreplanets:nibiru_ore:1, Infected Iron Ore
moreplanets:nibiru_ore:2, Infected Gold Ore
moreplanets:nibiru_ore:3, Infected Diamond Ore
moreplanets:nibiru_ore:4, Infected Redstone Ore
moreplanets:nibiru_ore:5, Infected Lapis Ore
moreplanets:nibiru_ore:6, Infected Emerald Ore
moreplanets:nibiru_ore:7, Infected Aluminum Ore
moreplanets:nibiru_ore:8, Infected Copper Ore
moreplanets:nibiru_ore:9, Infected Tin Ore
moreplanets:nibiru_ore:10, Infected Silicon Ore
moreplanets:nibiru_ore:11, Inferumite Crystal Ore
moreplanets:nibiru_sandstone:0, Nibiru Sandstone
moreplanets:nibiru_sandstone:1, Nibiru Chiseled Sandstone
moreplanets:nibiru_sandstone:2, Nibiru Smooth Sandstone
moreplanets:nibiru_log:0, Infected Oak Wood
moreplanets:nibiru_log:1, Infected Dead Oak Wood
moreplanets:nibiru_log:2, Infected Jungle Wood
moreplanets:nibiru_log:3, Alien Berry Oak Wood
moreplanets:nibiru_planks:0, Infected Planks
moreplanets:nibiru_planks:1, Infected Dead Oak Planks
moreplanets:nibiru_planks:2, Alien Berry Oak Planks
moreplanets:nibiru_leaves:0, Infected Oak Leaves
moreplanets:nibiru_leaves:1, Infected Dead Oak Leaves
moreplanets:nibiru_leaves:2, Infected Jungle Leaves
moreplanets:nibiru_leaves:3, Alien Berry Oak Leaves
moreplanets:nibiru_sapling:0, Infected Oak Sapling
moreplanets:nibiru_sapling:1, Infected Dead Oak Sapling
moreplanets:nibiru_sapling:2, Infected Jungle Sapling
moreplanets:nibiru_sapling:3, Alien Berry Oak Leaves
moreplanets:infected_water_fluid, Infected Water
moreplanets:infected_vines, Infected Vines
moreplanets:sporelily, Sporelily
moreplanets:nibiru_flower:0, Pure Herb
moreplanets:nibiru_flower:1, Terrapuff Herb
moreplanets:nibiru_flower:2, Bastasia Dandelion
moreplanets:nibiru_flower:3, Pyolonia
moreplanets:nibiru_flower:4, Philipy
moreplanets:nibiru_flower:5, Whitetail
moreplanets:nibiru_flower:6, Vealium Vine
moreplanets:nibiru_flower:7, Terrashroom
moreplanets:nibiru_crafting_table:0, Nibiru Crafting Table
moreplanets:nibiru_crafting_table:1, Alien Berry Crafting Table
moreplanets:nibiru_silverfish_stone:0, Nibiru Rock Worm Egg
moreplanets:nibiru_silverfish_stone:1, Nibiru Cobblestone Worm Egg
moreplanets:nibiru_silverfish_stone:2, Infected Stone Bricks Worm Egg
moreplanets:nibiru_silverfish_stone:3, Infected Vein Stone Bricks Worm Egg
moreplanets:nibiru_silverfish_stone:4, Cracked Infected Stone Bricks Worm Egg
moreplanets:nibiru_silverfish_stone:5, Chiseled Infected Stone Bricks Worm Egg
moreplanets:nibiru_bookshelf:0, Infected Bookshelf
moreplanets:nibiru_bookshelf:1, Alien Berry Bookshelf
moreplanets:nibiru_fence:0, Infected Fence
moreplanets:nibiru_fence:1, Infected Dead Oak Fence
moreplanets:nibiru_fence:2, Alien Berry Oak Fence
moreplanets:infected_fence_gate, Infected Fence Gate
moreplanets:infected_dead_oak_fence_gate, Infected Dead Oak Fence Gate
moreplanets:nibiru_double_plant:0, Infected Orange Rose Bush
moreplanets:nibiru_double_plant:1, Double Infected Tall Grass
moreplanets:nibiru_double_plant:2, Infected Large Fern
moreplanets:nibiru_double_plant:3, Double Green Vein Tall Grass
moreplanets:nibiru_cobblestone_stairs, Nibiru Cobblestone Stairs
moreplanets:nibiru_stone_bricks_stairs, Infected Stone Bricks Stairs
moreplanets:nibiru_ancient_chest, Nibiru Ancient Chest
moreplanets:nibiru_sandstone_stairs, Nibiru Sandstone Stairs
moreplanets:infected_snow, Infected Snow
moreplanets:infected_ice, Infected Ice
moreplanets:infected_packed_ice, Infected Packed Ice
moreplanets:infected_snow_layer, tile.infected_snow_layer.name
moreplanets:green_vein_grass, Green Vein Grass
moreplanets:infected_melon_block, Infected Melon Block
moreplanets:infected_gravel, Infected Gravel
moreplanets:infected_clay, Infected Clay
moreplanets:nibiru_treasure_chest, Nibiru Treasure Chest
moreplanets:infected_chest, Infected Chest
moreplanets:alien_berry_chest, Alien Berry Chest
moreplanets:multalic_crystal, Multalic Crystal
moreplanets:infected_prismarine:0, Infected Prismarine
moreplanets:infected_prismarine:1, Infected Prismarine Bricks
moreplanets:infected_prismarine:2, Infected Dark Prismarine
moreplanets:infected_sea_lantern, Infected Sea Lantern
moreplanets:infected_sponge:0, Infected Sponge
moreplanets:infected_sponge:1, Infected Wet Sponge
moreplanets:nibiru_seaweed:0, Infected Seaweed
moreplanets:oil_ore, Oil Ore
moreplanets:helium_gas, Helium Gas
moreplanets:infected_vines_dirt, Infected Vines Dirt
moreplanets:infected_torch, Infected Torch
moreplanets:nibiru_furnace, Nibiru Furnace
moreplanets:juicer_egg, Juicer Egg
moreplanets:nibiru_dungeon_brick_stairs, Nibiru Dungeon Brick Stairs
moreplanets:infected_oak_stairs, Infected Oak Stairs
moreplanets:infected_dead_oak_stairs, Infected Dead Oak Stairs
moreplanets:alien_berry_oak_stairs, Alien Berry Oak Stairs
moreplanets:infected_prismarine_stairs, Infected Prismarine Stairs
moreplanets:infected_prismarine_brick_stairs, Infected Prismarine Brick Stairs
moreplanets:infected_dark_prismarine_stairs, Infected Dark Prismarine Stairs
moreplanets:infected_vein_stone_bricks_stairs, Infected Vein Stone Bricks Stairs
moreplanets:cracked_infected_stone_bricks_stairs, Cracked Infected Stone Bricks
moreplanets:nibiru_smooth_sandstone_stairs, Nibiru Smooth Sandstone Stairs
moreplanets:nuclear_waste_tank, Nuclear Waste Tank
moreplanets:nuclear_waste_fluid, Nuclear Waste
moreplanets:vein_frame, Vein Frame
moreplanets:nuclear_waste_generator, Nuclear Waste Generator
moreplanets:alien_berry_oak_fence_gate, Alien Berry Oak Fence Gate
moreplanets:half_infected_prismarine_slab:0, Infected Prismarine Slab
moreplanets:half_infected_prismarine_slab:1, Infected Prismarine Brick Slab
moreplanets:half_infected_prismarine_slab:2, Infected Dark Prismarine Slab
moreplanets:half_infected_stone_bricks_slab:0, Infected Stone Bricks Slab
moreplanets:half_infected_stone_bricks_slab:1, Infected Vein Stone Bricks Slab
moreplanets:half_infected_stone_bricks_slab:2, Cracked Infected Stone Bricks Slab
moreplanets:half_infected_stone_bricks_slab:3, Terrastone Slab
moreplanets:half_nibiru_sandstone_slab:0, Nibiru Sandstone Slab
moreplanets:half_nibiru_sandstone_slab:1, Nibiru Smooth Sandstone Slab
moreplanets:multalic_crystal_block, Block of Multalic Crystal
moreplanets:terrastone, Terrastone
moreplanets:purify_water_fluid, Purified Water
moreplanets:purify_gravel, Purified Gravel
moreplanets:huge_terrashroom_block, Terrashroom Block
moreplanets:terrastone_stairs, Terrastone Stairs
moreplanets:terrastone_furnace, Terrastone Furnace
moreplanets:sealable_nuclear_waste_rod, Sealable Nuclear Waste Rod
moreplanets:nibiru_grass_path:0, Infected Grass Path
moreplanets:nibiru_grass_path:1, Green Vein Grass Path
moreplanets:fronos_grass, Fronos Grass
moreplanets:fronos_dirt:0, Fronos Dirt
moreplanets:fronos_dirt:1, Fronos Coarse Dirt
moreplanets:fronos_farmland, Fronos Farmland
moreplanets:fronos_block:0, Fronos Stone
moreplanets:fronos_block:1, Fronos Cobblestone
moreplanets:fronos_block:2, Fronos Stone Brick
moreplanets:fronos_block:3, Fronos Mossy Stone Brick
moreplanets:fronos_block:4, Fronos Cracked Stone Brick
moreplanets:fronos_block:5, Fronos Chiseled Stone Brick
moreplanets:fronos_block:6, Fronos Dungeon Brick
moreplanets:fronos_ore:0, Iron Ore
moreplanets:fronos_ore:1, Gold Ore
moreplanets:fronos_ore:2, Tin Ore
moreplanets:fronos_ore:3, Copper Ore
moreplanets:fronos_ore:4, Aluminum Ore
moreplanets:fronos_ore:5, Lead Ore
moreplanets:fronos_ore:6, Coal Ore
moreplanets:fronos_ore:7, Lapis Ore
moreplanets:fronos_ore:8, Diamond Ore
moreplanets:fronos_ore:9, Emerald Ore
moreplanets:fronos_ore:10, Redstone Ore
moreplanets:fronos_ore:11, Silicon Ore
moreplanets:fronos_ore:12, Quartz Ore
moreplanets:fronos_ore:13, Extrailonite Ore
moreplanets:candy_cane_1:0, Red Candy Cane
moreplanets:candy_cane_1:1, Green Candy Cane
moreplanets:candy_cane_1:2, Blue Candy Cane
moreplanets:candy_cane_1:3, Orange Candy Cane
moreplanets:candy_cane_2:0, Pink Candy Cane
moreplanets:candy_cane_2:1, Yellow Candy Cane
moreplanets:candy_cane_2:2, Purple Candy Cane
moreplanets:candy_cane_2:3, Rainbow Candy Cane
moreplanets:jelly_block:0, Grape Jelly
moreplanets:jelly_block:1, Raspberry Jelly
moreplanets:jelly_block:2, Strawberry Jelly
moreplanets:jelly_block:3, Berry Jelly
moreplanets:jelly_block:4, Lime Jelly
moreplanets:jelly_block:5, Orange Jelly
moreplanets:jelly_block:6, Green Jelly
moreplanets:jelly_block:7, Lemon Jelly
moreplanets:space_warper_core, Space Warper Core
moreplanets:capsule, Capsule
moreplanets:space_bow, Space Bow
moreplanets:space_fishing_rod, Space Fishing Rod
moreplanets:dye_mp, Blue Dye
moreplanets:laser_bullet:0, Laser Bullet
moreplanets:laser_bullet:1, Infected Crystallized Laser Bullet
moreplanets:laser_gun, Laser Gun
moreplanets:space_fish:0, Zelius Fish
moreplanets:space_fish:1, Glowing Alien Fish
moreplanets:space_fish:2, Cheese Fish
moreplanets:special_schematic:0, NASA Workbench Schematic
moreplanets:special_schematic:1, NASA Workbench Schematic
moreplanets:alien_defender_reinforcement, Alien Defender Reinforcement
moreplanets:creative_space_kit, Creative Space Kit
moreplanets:vein_floater_disc, item.vein_floater_disc.name
moreplanets:upgrade_template, Upgrade Template
moreplanets:shield_damage_upgrade, Shield Damage Upgrade
moreplanets:shield_size_upgrade, Shield Size Upgrade
moreplanets:shield_capacity_upgrade, Shield Capacity Upgrade
moreplanets:machine_speed_upgrade, Machine Speed Upgrade
moreplanets:gravity_amulet, Gravity Amulet (WIP)
moreplanets:diona_item:0, Illenium Ingot
moreplanets:diona_item:1, Setrorium Shard
moreplanets:diona_item:2, Compressed Illenium
moreplanets:diona_item:3, Compressed Setrorium
moreplanets:diona_item:4, Infected Crystallized Shard
moreplanets:diona_item:5, Alien Miner Part
moreplanets:diona_item:6, Glowing Iron Ingot
moreplanets:diona_item:7, Black Hole Fragment
moreplanets:diona_item:8, Anti Gravity Fragment
moreplanets:infected_crystallize_bomb, Infected Crystallized Bomb
moreplanets:tier_4_rocket_part:0, Compressed Tier 3 Rocket Plate
moreplanets:tier_4_rocket_part:1, Tier 4 Rocket Engine
moreplanets:tier_4_rocket_part:2, Tier 4 Nose Cone
moreplanets:tier_4_rocket_part:3, Tier 4 Booster
moreplanets:tier_5_rocket_schematic:0, NASA Workbench Schematic
moreplanets:tier_5_rocket_schematic:1, NASA Workbench Schematic
moreplanets:tier_4_rocket:0, Tier 4 Rocket
moreplanets:tier_4_rocket:1, Tier 4 Rocket
moreplanets:tier_4_rocket:2, Tier 4 Rocket
moreplanets:tier_4_rocket:3, Tier 4 Rocket
moreplanets:tier_4_rocket:4, Tier 4 Rocket
moreplanets:diona_dungeon_key, Diona Dungeon Key
moreplanets:infected_crystallize_slimeball, Infected Crystallized Slimeball
moreplanets:infected_crystallize_arrow, Infected Crystallized Arrow
moreplanets:dark_energy_pearl, Dark Energy Pearl
moreplanets:anti_gravity_arrow, Anti Gravity Arrow
moreplanets:illenium_sword, Illenium Sword
moreplanets:illenium_shovel, Illenium Shovel
moreplanets:illenium_pickaxe, Illenium Pickaxe
moreplanets:illenium_axe, Illenium Axe
moreplanets:illenium_hoe, Illenium Hoe
moreplanets:illenium_helmet, Illenium Helmet
moreplanets:illenium_chestplate, Illenium Chestplate
moreplanets:illenium_leggings, Illenium Leggings
moreplanets:illenium_boots, Illenium Boots
moreplanets:breathable_illenium_helmet, Breathable Illenium Helmet
moreplanets:chalos_item:0, Diremsium Ingot
moreplanets:chalos_item:1, Zyptorium Ingot
moreplanets:chalos_item:2, Compressed Diremsium
moreplanets:chalos_item:3, Compressed Zyptorium
moreplanets:cheese_food:0, Cheese Milk Curd
moreplanets:cheese_food:1, Raw Cheese Beef
moreplanets:cheese_food:2, Cooked Cheese Steak
moreplanets:cheese_food:3, Cheese Spore Berry
moreplanets:cheese_slimeball, Cheese Slimeball
moreplanets:cheese_spore_item, Cheese Spore
moreplanets:cheese_spore_seed, Cheese Spore Seed
moreplanets:tier_5_rocket_part, Compressed Tier 4 Rocket Plate
moreplanets:tier_6_rocket_schematic, item.tier_6_rocket_schematic.name
moreplanets:tier_5_rocket:0, Tier 5 Rocket
moreplanets:tier_5_rocket:1, Tier 5 Rocket
moreplanets:tier_5_rocket:2, Tier 5 Rocket
moreplanets:tier_5_rocket:3, Tier 5 Rocket
moreplanets:tier_5_rocket:4, Tier 5 Rocket
moreplanets:chalos_dungeon_key, Chalos Dungeon Key
moreplanets:cheese_spore_door, Cheese Spore Door
moreplanets:diremsium_sword, Diremsium Sword
moreplanets:diremsium_shovel, Diremsium Shovel
moreplanets:diremsium_pickaxe, Diremsium Pickaxe
moreplanets:diremsium_axe, Diremsium Axe
moreplanets:diremsium_hoe, Diremsium Hoe
moreplanets:cheese_spore_wood_sword, Cheese Spore Wooden Sword
moreplanets:cheese_spore_wood_shovel, Cheese Spore Wooden Shovel
moreplanets:cheese_spore_wood_pickaxe, Cheese Spore Wooden Pickaxe
moreplanets:cheese_spore_wood_axe, Cheese Spore Wooden Axe
moreplanets:cheese_spore_wood_hoe, Cheese Spore Wooden Hoe
moreplanets:diremsium_helmet, Diremsium Helmet
moreplanets:diremsium_chestplate, Diremsium Chestplate
moreplanets:diremsium_leggings, Diremsium Leggings
moreplanets:diremsium_boots, Diremsium Boots
moreplanets:breathable_diremsium_helmet, Breathable Diremsium Helmet
moreplanets:nibiru_item:0, Inferumite Crystal
moreplanets:nibiru_item:1, Multalic Crystal
moreplanets:nibiru_item:2, Infected Coal
moreplanets:nibiru_item:3, Shlime Tail
moreplanets:nibiru_item:4, Compressed Tier 5 Rocket Plate
moreplanets:nibiru_item:5, Infected Charcoal
moreplanets:infected_wheat_seeds, Infected Wheat Seeds
moreplanets:infected_door, Infected Door
moreplanets:infected_dead_oak_door, Infected Dead Oak Door
moreplanets:alien_berry_oak_door, Alien Berry Oak Door
moreplanets:nibiru_fruits:0, Infected Apple
moreplanets:nibiru_fruits:1, Infected Golden Apple
moreplanets:nibiru_fruits:2, Infected Golden Apple
moreplanets:nibiru_fruits:3, Infected Melon
moreplanets:nibiru_fruits:4, Alien Berry
moreplanets:nibiru_fruits:5, Golden Alien Berry
moreplanets:nibiru_fruits:6, Terraberry
moreplanets:infected_wheat, Infected Wheat
moreplanets:infected_clay_ball, Infected Clay Ball
moreplanets:infected_snowball, Infected Snowball
moreplanets:nibiru_dungeon_key:0, Nibiru Dungeon Key
moreplanets:nibiru_dungeon_key:1, Nibiru Dungeon Key Piece
moreplanets:nibiru_dungeon_key:2, Nibiru Dungeon Key Piece
moreplanets:infected_sugar_cane, Infected Sugar Cane
moreplanets:infected_prismarine_item:0, Infected Prismarine Shard
moreplanets:infected_prismarine_item:1, Infected Prismarine Crystals
moreplanets:infected_egg, Infected Egg
moreplanets:infected_arrow, Infected Arrow
moreplanets:infected_melon_seeds, Infected Melon Seeds
moreplanets:vein_eye, Vein Eye
moreplanets:nibiru_food:0, Raw Shlime Meat
moreplanets:nibiru_food:1, Cooked Shlime Meat
moreplanets:waste_rod_picker, Waste Rod Picker
moreplanets:nuclear_waste_rod, Nuclear Waste Rod
moreplanets:tier_6_rocket:0, Tier 6 Rocket
moreplanets:tier_6_rocket:1, Tier 6 Rocket
moreplanets:tier_6_rocket:2, Tier 6 Rocket
moreplanets:tier_6_rocket:3, Tier 6 Rocket
moreplanets:tier_6_rocket:4, Tier 6 Rocket
moreplanets:infected_wood_sword, Infected Wooden Sword
moreplanets:infected_wood_shovel, Infected Wooden Shovel
moreplanets:infected_wood_pickaxe, Infected Wooden Pickaxe
moreplanets:infected_wood_axe, Infected Wooden Axe
moreplanets:infected_wood_hoe, Infected Wooden Hoe
moreplanets:alien_berry_wood_sword, Alien Berry Wooden Sword
moreplanets:alien_berry_wood_shovel, Alien Berry Wooden Shovel
moreplanets:alien_berry_wood_pickaxe, Alien Berry Wooden Pickaxe
moreplanets:alien_berry_wood_axe, Alien Berry Wooden Axe
moreplanets:alien_berry_wood_hoe, Alien Berry Wooden Hoe
moreplanets:nibiru_stone_sword, Nibiru Stone Sword
moreplanets:nibiru_stone_shovel, Nibiru Stone Shovel
moreplanets:nibiru_stone_pickaxe, Nibiru Stone Pickaxe
moreplanets:nibiru_stone_axe, Nibiru Stone Axe
moreplanets:nibiru_stone_hoe, Nibiru Stone Hoe
moreplanets:multalic_crystal_sword, Multalic Crystal Sword
moreplanets:multalic_crystal_shovel, Multalic Crystal Shovel
moreplanets:multalic_crystal_pickaxe, Multalic Crystal Pickaxe
moreplanets:multalic_crystal_axe, Multalic Crystal Axe
moreplanets:multalic_crystal_hoe, Multalic Crystal Hoe
moreplanets:multalic_crystal_helmet, Multalic Crystal Helmet
moreplanets:multalic_crystal_chestplate, Multalic Crystal Chestplate
moreplanets:multalic_crystal_leggings, Multalic Crystal Leggings
moreplanets:multalic_crystal_boots, Multalic Crystal Boots
moreplanets:breathable_multalic_crystal_helmet, Breathable Multalic Crystal Helmet
moreplanets:fronos_item:0, Extrailonite Ingot
moreplanets:fronos_item:1, Compressed Extrailonite
moreplanets:fronos_fruits:0, Strawberry
moreplanets:fronos_fruits:1, Giant Blueberry
moreplanets:fronos_food:0, Chocolate Bar
moreplanets:fronos_food:1, Jelly Beans
moreplanets:fronos_food:2, Marshmallow
moreplanets:fronos_food:3, Cooked Marshmallow
moreplanets:jelly:0, Grape Jelly
moreplanets:jelly:1, Raspberry Jelly
moreplanets:jelly:2, Strawberry Jelly
moreplanets:jelly:3, Berry Jelly
moreplanets:jelly:4, Lime Jelly
moreplanets:jelly:5, Orange Jelly
moreplanets:jelly:6, Green Jelly
moreplanets:jelly:7, Lemon Jelly
moreplanets:candy_cane:0, Red Candy Cane
moreplanets:candy_cane:1, Green Candy Cane
moreplanets:candy_cane:2, Blue Candy Cane
moreplanets:candy_cane:3, Orange Candy Cane
moreplanets:candy_cane:4, Pink Candy Cane
moreplanets:candy_cane:5, Yellow Candy Cane
moreplanets:candy_cane:6, Purple Candy Cane
moreplanets:candy_cane:7, Rainbow Candy Cane
opencomputers:adapter:0, Adapter
opencomputers:assembler:0, Electronics Assembler
opencomputers:cable:11250603, Cable
opencomputers:capacitor:0, Capacitor
opencomputers:case1:0, Computer Case (Tier 1)
opencomputers:case3:0, Computer Case (Tier 3)
opencomputers:case2:0, Computer Case (Tier 2)
opencomputers:chameliumblock:0, Block of Chamelium
opencomputers:charger:0, Charger
opencomputers:disassembler:0, Disassembler
opencomputers:diskdrive:0, Disk Drive
opencomputers:geolyzer:0, Geolyzer
opencomputers:hologram1:0, Hologram Projector (Tier 1)
opencomputers:hologram2:0, Hologram Projector (Tier 2)
opencomputers:keyboard:0, Keyboard
opencomputers:motionsensor:0, Motion Sensor
opencomputers:powerconverter:0, Power Converter
opencomputers:powerdistributor:0, Power Distributor
opencomputers:printer:0, 3D Printer
opencomputers:raid:0, Raid
opencomputers:redstone:0, Redstone I/O
opencomputers:relay:0, Relay
opencomputers:screen1:0, Screen (Tier 1)
opencomputers:screen3:0, Screen (Tier 3)
opencomputers:screen2:0, Screen (Tier 2)
opencomputers:rack:0, Rack
opencomputers:waypoint:0, Waypoint
opencomputers:casecreative:0, Computer Case (Creative)
opencomputers:microcontroller:0, Microcontroller
opencomputers:print:0, 3D Print
opencomputers:robotafterimage:0, Robot
opencomputers:robot:0, robot.name
opencomputers:endstone:0, End Stone
opencomputers:netsplitter:0, Net Splitter
opencomputers:transposer:0, Transposer
opencomputers:carpetedcapacitor:0, Carpeted Capacitor
opencomputers:material:1, Grog
opencomputers:material:10, Arithmetic Logic Unit (ALU)
opencomputers:material:15, Arrow Keys
opencomputers:material:14, Button Group
opencomputers:material:5, Card Base
opencomputers:material:28, Chamelium
opencomputers:material:3, Circuit Board
opencomputers:material:11, Control Unit (CU)
opencomputers:material:0, Cutting Wire
opencomputers:material:29, Diamond Chip
opencomputers:material:12, Disk Platter
opencomputers:material:23, Drone Case (Tier 1)
opencomputers:material:24, Drone Case (Tier 2)
opencomputers:material:25, Drone Case (Creative)
opencomputers:material:27, Ink Cartridge
opencomputers:material:26, Ink Cartridge (Empty)
opencomputers:material:13, Interweb
opencomputers:material:7, Microchip (Tier 1)
opencomputers:material:8, Microchip (Tier 2)
opencomputers:material:9, Microchip (Tier 3)
opencomputers:material:20, Microcontroller Case (Tier 1)
opencomputers:material:21, Microcontroller Case (Tier 2)
opencomputers:material:22, Microcontroller Case (Creative)
opencomputers:material:16, Numeric Keypad
opencomputers:material:4, Printed Circuit Board (PCB)
opencomputers:material:2, Raw Circuit Board
opencomputers:material:17, Tablet Case (Tier 1)
opencomputers:material:18, Tablet Case (Tier 2)
opencomputers:material:19, Tablet Case (Creative)
opencomputers:material:6, Transistor
opencomputers:tool:0, Analyzer
opencomputers:tool:1, Network Debugger
opencomputers:tool:4, OpenComputers Manual
opencomputers:tool:5, Nanomachines
opencomputers:tool:2, Remote Terminal
opencomputers:tool:3, Texture Picker
opencomputers:wrench, Scrench
opencomputers:hoverboots, Hover Boots
opencomputers:component:16, Accelerated Processing Unit (APU) (Tier 1)
opencomputers:component:17, Accelerated Processing Unit (APU) (Tier 2)
opencomputers:component:18, Accelerated Processing Unit (APU) (Creative)
opencomputers:component:3, Component Bus (Tier 1)
opencomputers:component:4, Component Bus (Tier 2)
opencomputers:component:5, Component Bus (Tier 3)
opencomputers:component:0, Central Processing Unit (CPU) (Tier 1)
opencomputers:component:1, Central Processing Unit (CPU) (Tier 2)
opencomputers:component:2, Central Processing Unit (CPU) (Tier 3)
opencomputers:component:20, Disk Drive
opencomputers:component:6, Memory (Tier 1)
opencomputers:component:7, Memory (Tier 1.5)
opencomputers:component:8, Memory (Tier 2)
opencomputers:component:9, Memory (Tier 2.5)
opencomputers:component:10, Memory (Tier 3)
opencomputers:component:11, Memory (Tier 3.5)
opencomputers:component:13, Server (Tier 1)
opencomputers:component:14, Server (Tier 2)
opencomputers:component:15, Server (Tier 3)
opencomputers:component:12, Server (Creative)
opencomputers:component:19, Terminal Server
opencomputers:card:10, Data Card (Tier 1)
opencomputers:card:11, Data Card (Tier 2)
opencomputers:card:12, Data Card (Tier 3)
opencomputers:card:0, Debug Card
opencomputers:card:1, Graphics Card (Tier 1)
opencomputers:card:2, Graphics Card (Tier 2)
opencomputers:card:3, Graphics Card (Tier 3)
opencomputers:card:8, Internet Card
opencomputers:card:9, Linked Card
opencomputers:card:6, Network Card
opencomputers:card:4, Redstone Card (Tier 1)
opencomputers:card:7, Wireless Network Card (Tier 2)
opencomputers:upgrade:32, Component Bus (Creative)
opencomputers:upgrade:0, Angel Upgrade
opencomputers:upgrade:1, Battery Upgrade (Tier 1)
opencomputers:upgrade:2, Battery Upgrade (Tier 2)
opencomputers:upgrade:3, Battery Upgrade (Tier 3)
opencomputers:upgrade:4, Chunkloader Upgrade
opencomputers:upgrade:5, Card Container (Tier 1)
opencomputers:upgrade:6, Card Container (Tier 2)
opencomputers:upgrade:7, Card Container (Tier 3)
opencomputers:upgrade:8, Upgrade Container (Tier 1)
opencomputers:upgrade:9, Upgrade Container (Tier 2)
opencomputers:upgrade:10, Upgrade Container (Tier 3)
opencomputers:upgrade:11, Crafting Upgrade
opencomputers:upgrade:12, Database Upgrade (Tier 1)
opencomputers:upgrade:13, Database Upgrade (Tier 2)
opencomputers:upgrade:14, Database Upgrade (Tier 3)
opencomputers:upgrade:15, Experience Upgrade
opencomputers:upgrade:16, Generator Upgrade
opencomputers:upgrade:27, Hover Upgrade (Tier 1)
opencomputers:upgrade:28, Hover Upgrade (Tier 2)
opencomputers:upgrade:17, Inventory Upgrade
opencomputers:upgrade:18, Inventory Controller Upgrade
opencomputers:upgrade:26, Leash Upgrade
opencomputers:upgrade:30, MFU
opencomputers:upgrade:19, Navigation Upgrade
opencomputers:upgrade:20, Piston Upgrade
opencomputers:upgrade:21, Sign I/O Upgrade
opencomputers:upgrade:22, Solar Generator Upgrade
opencomputers:upgrade:23, Tank Upgrade
opencomputers:upgrade:24, Tank Controller Upgrade
opencomputers:upgrade:25, Tractor Beam Upgrade
opencomputers:upgrade:29, Trading Upgrade
opencomputers:upgrade:31, Wireless Network Card (Tier 1)
opencomputers:storage:0, EEPROM
opencomputers:storage:1, Floppy Disk
opencomputers:storage:2, Hard Disk Drive (Tier 1) (1MB)
opencomputers:storage:3, Hard Disk Drive (Tier 2) (2MB)
opencomputers:storage:4, Hard Disk Drive (Tier 3) (4MB)
opencomputers:misc:1, Crecopter
opencomputers:misc:0, Microcontroller
opencomputers:misc:0, Creatix
opencomputers:misc:0, Tablet
opencomputers:misc:0, Hover Boots
opencomputers:misc:0, EEPROM (Lua BIOS)
chisel:basalt:0, Basalt
chisel:basalt:1, Basalt
chisel:basalt:2, Basalt
chisel:basalt:3, Basalt
chisel:basalt:4, Basalt
chisel:basalt:5, Basalt
chisel:basalt:6, Basalt
chisel:basalt:7, Basalt
chisel:basalt:8, Basalt
chisel:basalt:9, Basalt
chisel:basalt:10, Basalt
chisel:basalt:11, Basalt
chisel:basalt:12, Basalt
chisel:basalt:13, Basalt
chisel:basalt:14, Basalt
chisel:basalt:15, Basalt
chisel:basalt1:0, Basalt
chisel:basalt1:1, Basalt
chisel:basalt1:2, Basalt
chisel:basalt1:3, Basalt
chisel:basalt1:4, Basalt
chisel:basalt1:5, Basalt
chisel:basalt1:6, Basalt
chisel:basalt1:7, Basalt
chisel:basalt1:8, Basalt
chisel:basalt1:9, Basalt
chisel:basalt2:0, Basalt
chisel:basalt2:1, Basalt
chisel:basalt2:2, Basalt
chisel:basalt2:3, Basalt
chisel:basalt2:4, Basalt
chisel:basalt2:5, Basalt
chisel:basalt2:6, Basalt
chisel:basalt2:7, Basalt
chisel:cobblestone:0, Cobblestone
chisel:cobblestone:1, Cobblestone
chisel:cobblestone:2, Cobblestone
chisel:cobblestone:3, Cobblestone
chisel:cobblestone:4, Cobblestone
chisel:cobblestone:5, Cobblestone
chisel:cobblestone:6, Cobblestone
chisel:cobblestone:7, Cobblestone
chisel:cobblestone:8, Cobblestone
chisel:cobblestone:9, Cobblestone
chisel:cobblestone:10, Cobblestone
chisel:cobblestone:11, Cobblestone
chisel:cobblestone:12, Cobblestone
chisel:cobblestone:13, Cobblestone
chisel:cobblestone:14, Cobblestone
chisel:cobblestone:15, Cobblestone
chisel:cobblestone1:0, Cobblestone
chisel:cobblestone1:1, Cobblestone
chisel:cobblestone1:2, Cobblestone
chisel:cobblestone1:3, Cobblestone
chisel:cobblestone1:4, Cobblestone
chisel:cobblestone1:5, Cobblestone
chisel:cobblestone1:6, Cobblestone
chisel:cobblestone1:7, Cobblestone
chisel:cobblestone1:8, Cobblestone
chisel:cobblestone1:9, Cobblestone
chisel:cobblestone2:0, Cobblestone
chisel:cobblestone2:1, Cobblestone
chisel:cobblestone2:2, Cobblestone
chisel:cobblestone2:3, Cobblestone
chisel:cobblestone2:4, Cobblestone
chisel:cobblestone2:5, Cobblestone
chisel:cobblestone2:6, Cobblestone
chisel:cobblestone2:7, Cobblestone
chisel:cobblestone2:8, Cobblestone
chisel:cobblestone2:9, Cobblestone
